Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
05/01/2024,01:00,N,HB_BUSAVG,10.84
05/01/2024,01:00,N,HB_HOUSTON,11.76
05/01/2024,01:00,N,HB_HUBAVG,10.48
05/01/2024,01:00,N,HB_NORTH,10.82
05/01/2024,01:00,N,HB_PAN,4.51
05/01/2024,01:00,N,HB_SOUTH,12.40
05/01/2024,01:00,N,HB_WEST,6.95
05/01/2024,01:00,N,LZ_AEN,12.04
05/01/2024,01:00,N,LZ_CPS,13.10
05/01/2024,01:00,N,LZ_HOUSTON,11.78
05/01/2024,01:00,N,LZ_LCRA,12.24
05/01/2024,01:00,N,LZ_NORTH,10.83
05/01/2024,01:00,N,LZ_RAYBN,10.86
05/01/2024,01:00,N,LZ_SOUTH,12.72
05/01/2024,01:00,N,LZ_WEST,13.82
05/01/2024,02:00,N,HB_BUSAVG,9.28
05/01/2024,02:00,N,HB_HOUSTON,10
05/01/2024,02:00,N,HB_HUBAVG,9.19
05/01/2024,02:00,N,HB_NORTH,8.94
05/01/2024,02:00,N,HB_PAN,3.81
05/01/2024,02:00,N,HB_SOUTH,10.88
05/01/2024,02:00,N,HB_WEST,6.94
05/01/2024,02:00,N,LZ_AEN,10.33
05/01/2024,02:00,N,LZ_CPS,12.04
05/01/2024,02:00,N,LZ_HOUSTON,10.03
05/01/2024,02:00,N,LZ_LCRA,10.44
05/01/2024,02:00,N,LZ_NORTH,8.92
05/01/2024,02:00,N,LZ_RAYBN,8.92
05/01/2024,02:00,N,LZ_SOUTH,11.24
05/01/2024,02:00,N,LZ_WEST,13.49
05/01/2024,03:00,N,HB_BUSAVG,8.65
05/01/2024,03:00,N,HB_HOUSTON,9.43
05/01/2024,03:00,N,HB_HUBAVG,8.62
05/01/2024,03:00,N,HB_NORTH,8.13
05/01/2024,03:00,N,HB_PAN,3.02
05/01/2024,03:00,N,HB_SOUTH,10.65
05/01/2024,03:00,N,HB_WEST,6.28
05/01/2024,03:00,N,LZ_AEN,9.71
05/01/2024,03:00,N,LZ_CPS,12.70
05/01/2024,03:00,N,LZ_HOUSTON,9.48
05/01/2024,03:00,N,LZ_LCRA,9.60
05/01/2024,03:00,N,LZ_NORTH,8.07
05/01/2024,03:00,N,LZ_RAYBN,8.06
05/01/2024,03:00,N,LZ_SOUTH,11.17
05/01/2024,03:00,N,LZ_WEST,12.24
05/01/2024,04:00,N,HB_BUSAVG,8.33
05/01/2024,04:00,N,HB_HOUSTON,9.07
05/01/2024,04:00,N,HB_HUBAVG,8.37
05/01/2024,04:00,N,HB_NORTH,7.71
05/01/2024,04:00,N,HB_PAN,2.91
05/01/2024,04:00,N,HB_SOUTH,10.37
05/01/2024,04:00,N,HB_WEST,6.31
05/01/2024,04:00,N,LZ_AEN,9.37
05/01/2024,04:00,N,LZ_CPS,12.51
05/01/2024,04:00,N,LZ_HOUSTON,9.13
05/01/2024,04:00,N,LZ_LCRA,9.24
05/01/2024,04:00,N,LZ_NORTH,7.67
05/01/2024,04:00,N,LZ_RAYBN,7.65
05/01/2024,04:00,N,LZ_SOUTH,10.85
05/01/2024,04:00,N,LZ_WEST,12.86
05/01/2024,05:00,N,HB_BUSAVG,9.34
05/01/2024,05:00,N,HB_HOUSTON,9.87
05/01/2024,05:00,N,HB_HUBAVG,9.50
05/01/2024,05:00,N,HB_NORTH,8.67
05/01/2024,05:00,N,HB_PAN,3.81
05/01/2024,05:00,N,HB_SOUTH,11.02
05/01/2024,05:00,N,HB_WEST,8.43
05/01/2024,05:00,N,LZ_AEN,10.20
05/01/2024,05:00,N,LZ_CPS,12.54
05/01/2024,05:00,N,LZ_HOUSTON,9.92
05/01/2024,05:00,N,LZ_LCRA,10.20
05/01/2024,05:00,N,LZ_NORTH,8.63
05/01/2024,05:00,N,LZ_RAYBN,8.60
05/01/2024,05:00,N,LZ_SOUTH,11.56
05/01/2024,05:00,N,LZ_WEST,15.07
05/01/2024,06:00,N,HB_BUSAVG,12.18
05/01/2024,06:00,N,HB_HOUSTON,12.64
05/01/2024,06:00,N,HB_HUBAVG,12.39
05/01/2024,06:00,N,HB_NORTH,11.51
05/01/2024,06:00,N,HB_PAN,7.45
05/01/2024,06:00,N,HB_SOUTH,13.59
05/01/2024,06:00,N,HB_WEST,11.82
05/01/2024,06:00,N,LZ_AEN,12.82
05/01/2024,06:00,N,LZ_CPS,14.13
05/01/2024,06:00,N,LZ_HOUSTON,12.68
05/01/2024,06:00,N,LZ_LCRA,12.95
05/01/2024,06:00,N,LZ_NORTH,11.50
05/01/2024,06:00,N,LZ_RAYBN,11.47
05/01/2024,06:00,N,LZ_SOUTH,14.79
05/01/2024,06:00,N,LZ_WEST,20.41
05/01/2024,07:00,N,HB_BUSAVG,16.34
05/01/2024,07:00,N,HB_HOUSTON,17.20
05/01/2024,07:00,N,HB_HUBAVG,16.48
05/01/2024,07:00,N,HB_NORTH,15.53
05/01/2024,07:00,N,HB_PAN,12.57
05/01/2024,07:00,N,HB_SOUTH,18.67
05/01/2024,07:00,N,HB_WEST,14.52
05/01/2024,07:00,N,LZ_AEN,17.17
05/01/2024,07:00,N,LZ_CPS,20.63
05/01/2024,07:00,N,LZ_HOUSTON,17.26
05/01/2024,07:00,N,LZ_LCRA,16.80
05/01/2024,07:00,N,LZ_NORTH,15.49
05/01/2024,07:00,N,LZ_RAYBN,15.44
05/01/2024,07:00,N,LZ_SOUTH,20.35
